Tue Jun 22 08:10:28 2021 Epoch 0, lr: 0.0001000, val loss: 120.32704, acc: 57.54000
Tue Jun 22 08:11:31 2021 Epoch 1, lr: 0.0001000, val loss: 98.30419, acc: 65.32000
Tue Jun 22 08:12:33 2021 Epoch 2, lr: 0.0001000, val loss: 95.98462, acc: 67.92000
Tue Jun 22 08:13:36 2021 Epoch 3, lr: 0.0001000, val loss: 79.71266, acc: 73.65000
Tue Jun 22 08:14:39 2021 Epoch 4, lr: 0.0001000, val loss: 62.75242, acc: 78.12000
Tue Jun 22 08:15:41 2021 Epoch 5, lr: 0.0001000, val loss: 65.75949, acc: 77.25000
Tue Jun 22 08:16:45 2021 Epoch 6, lr: 0.0001000, val loss: 58.35133, acc: 79.70000
Tue Jun 22 08:17:48 2021 Epoch 7, lr: 0.0001000, val loss: 58.42112, acc: 80.20000
Tue Jun 22 08:18:51 2021 Epoch 8, lr: 0.0001000, val loss: 57.08777, acc: 80.67000
Tue Jun 22 08:19:54 2021 Epoch 9, lr: 0.0001000, val loss: 51.86117, acc: 83.08000
Tue Jun 22 08:20:56 2021 Epoch 10, lr: 0.0001000, val loss: 47.39726, acc: 84.15000
Tue Jun 22 08:21:59 2021 Epoch 11, lr: 0.0001000, val loss: 50.62194, acc: 83.26000
Tue Jun 22 08:23:02 2021 Epoch 12, lr: 0.0001000, val loss: 55.12983, acc: 81.36000
Tue Jun 22 08:24:05 2021 Epoch 13, lr: 0.0001000, val loss: 52.84609, acc: 82.88000
Tue Jun 22 08:25:07 2021 Epoch 14, lr: 0.0000100, val loss: 49.61405, acc: 83.65000
Tue Jun 22 08:26:10 2021 Epoch 15, lr: 0.0000100, val loss: 37.14028, acc: 87.70000
Tue Jun 22 08:27:13 2021 Epoch 16, lr: 0.0000100, val loss: 36.02602, acc: 87.71000
Tue Jun 22 08:28:17 2021 Epoch 17, lr: 0.0000100, val loss: 35.18229, acc: 88.10000
Tue Jun 22 08:29:20 2021 Epoch 18, lr: 0.0000100, val loss: 35.93771, acc: 87.99000
Tue Jun 22 08:30:22 2021 Epoch 19, lr: 0.0000100, val loss: 36.02772, acc: 87.78000
Tue Jun 22 08:31:25 2021 Epoch 20, lr: 0.0000100, val loss: 35.69179, acc: 87.89000
