Tue Jun 22 04:35:39 2021 Epoch 59, lr: 0.0000000, val loss: 27.20030, acc: 91.94000
Tue Jun 22 04:37:28 2021 Epoch 60, lr: 0.0000000, val loss: 27.69891, acc: 91.89000
Tue Jun 22 04:39:18 2021 Epoch 61, lr: 0.0000000, val loss: 27.95191, acc: 92.09000
Tue Jun 22 04:41:09 2021 Epoch 62, lr: 0.0000000, val loss: 27.71369, acc: 91.96000
Tue Jun 22 04:42:59 2021 Epoch 63, lr: 0.0000000, val loss: 27.86249, acc: 92.12000
Tue Jun 22 04:44:50 2021 Epoch 64, lr: 0.0000000, val loss: 27.63587, acc: 91.98000
Tue Jun 22 04:46:39 2021 Epoch 65, lr: 0.0000000, val loss: 27.40563, acc: 91.89000
Tue Jun 22 04:48:29 2021 Epoch 66, lr: 0.0000000, val loss: 27.34118, acc: 91.91000
Tue Jun 22 04:50:20 2021 Epoch 67, lr: 0.0000000, val loss: 27.38950, acc: 92.00000
Tue Jun 22 04:52:10 2021 Epoch 68, lr: 0.0000000, val loss: 27.40743, acc: 91.95000
Tue Jun 22 04:54:00 2021 Epoch 69, lr: 0.0000000, val loss: 27.90001, acc: 91.90000
Tue Jun 22 04:55:50 2021 Epoch 70, lr: 0.0000000, val loss: 27.23983, acc: 92.13000
Tue Jun 22 04:57:41 2021 Epoch 71, lr: 0.0000000, val loss: 27.27830, acc: 92.01000
Tue Jun 22 04:59:31 2021 Epoch 72, lr: 0.0000000, val loss: 27.24640, acc: 92.11000
Tue Jun 22 05:01:21 2021 Epoch 73, lr: 0.0000000, val loss: 27.43154, acc: 92.02000
Tue Jun 22 05:03:13 2021 Epoch 74, lr: 0.0000000, val loss: 27.31792, acc: 92.16000
Tue Jun 22 05:05:04 2021 Epoch 75, lr: 0.0000000, val loss: 27.45444, acc: 91.91000
Tue Jun 22 05:06:55 2021 Epoch 76, lr: 0.0000000, val loss: 27.44281, acc: 92.05000
Tue Jun 22 05:08:46 2021 Epoch 77, lr: 0.0000000, val loss: 26.98784, acc: 92.13000
Tue Jun 22 05:10:37 2021 Epoch 78, lr: 0.0000000, val loss: 28.14040, acc: 91.83000
Tue Jun 22 05:12:27 2021 Epoch 79, lr: 0.0000000, val loss: 27.22028, acc: 91.98000
Tue Jun 22 05:14:18 2021 Epoch 80, lr: 0.0000000, val loss: 27.67556, acc: 91.91000
Tue Jun 22 05:16:08 2021 Epoch 81, lr: 0.0000000, val loss: 26.98474, acc: 92.07000
Tue Jun 22 05:17:59 2021 Epoch 82, lr: 0.0000000, val loss: 27.57143, acc: 91.96000
Tue Jun 22 05:19:50 2021 Epoch 83, lr: 0.0000000, val loss: 27.14937, acc: 92.18000
Tue Jun 22 05:21:41 2021 Epoch 84, lr: 0.0000000, val loss: 27.57757, acc: 92.07000
Tue Jun 22 05:23:32 2021 Epoch 85, lr: 0.0000000, val loss: 27.09211, acc: 92.10000
Tue Jun 22 05:25:22 2021 Epoch 86, lr: 0.0000000, val loss: 27.07516, acc: 92.10000
Tue Jun 22 05:27:13 2021 Epoch 87, lr: 0.0000000, val loss: 27.30936, acc: 92.07000
Tue Jun 22 05:29:04 2021 Epoch 88, lr: 0.0000000, val loss: 28.04709, acc: 91.86000
Tue Jun 22 05:30:55 2021 Epoch 89, lr: 0.0000000, val loss: 27.92731, acc: 91.87000
Tue Jun 22 05:32:46 2021 Epoch 90, lr: 0.0000000, val loss: 27.23842, acc: 91.99000
Tue Jun 22 05:34:37 2021 Epoch 91, lr: 0.0000000, val loss: 28.35925, acc: 91.92000
Tue Jun 22 05:36:28 2021 Epoch 92, lr: 0.0000000, val loss: 27.10089, acc: 91.97000
Tue Jun 22 05:38:19 2021 Epoch 93, lr: 0.0000000, val loss: 27.78753, acc: 91.94000
Tue Jun 22 05:40:10 2021 Epoch 94, lr: 0.0000000, val loss: 27.22988, acc: 92.12000
Tue Jun 22 05:42:01 2021 Epoch 95, lr: 0.0000000, val loss: 27.15264, acc: 92.12000
Tue Jun 22 05:43:53 2021 Epoch 96, lr: 0.0000000, val loss: 27.17431, acc: 92.05000
Tue Jun 22 05:45:44 2021 Epoch 97, lr: 0.0000000, val loss: 27.45385, acc: 92.05000
Tue Jun 22 05:47:35 2021 Epoch 98, lr: 0.0000000, val loss: 26.90724, acc: 92.05000
Tue Jun 22 05:49:26 2021 Epoch 99, lr: 0.0000000, val loss: 27.49294, acc: 92.09000
