Tue Jun 22 09:58:28 2021 Epoch 59, lr: 0.0000000, val loss: 31.77701, acc: 89.91000
Tue Jun 22 09:59:54 2021 Epoch 60, lr: 0.0000000, val loss: 32.12800, acc: 89.79000
Tue Jun 22 10:01:20 2021 Epoch 61, lr: 0.0000000, val loss: 31.99487, acc: 90.03000
Tue Jun 22 10:02:46 2021 Epoch 62, lr: 0.0000000, val loss: 31.49993, acc: 89.98000
Tue Jun 22 10:04:13 2021 Epoch 63, lr: 0.0000000, val loss: 31.91702, acc: 89.91000
Tue Jun 22 10:05:39 2021 Epoch 64, lr: 0.0000000, val loss: 31.95038, acc: 89.91000
Tue Jun 22 10:07:05 2021 Epoch 65, lr: 0.0000000, val loss: 32.02862, acc: 89.68000
Tue Jun 22 10:08:31 2021 Epoch 66, lr: 0.0000000, val loss: 32.53677, acc: 89.77000
Tue Jun 22 10:09:57 2021 Epoch 67, lr: 0.0000000, val loss: 31.95591, acc: 90.03000
Tue Jun 22 10:11:23 2021 Epoch 68, lr: 0.0000000, val loss: 31.54673, acc: 90.04000
Tue Jun 22 10:12:50 2021 Epoch 69, lr: 0.0000000, val loss: 31.81960, acc: 89.92000
Tue Jun 22 10:14:16 2021 Epoch 70, lr: 0.0000000, val loss: 32.08539, acc: 89.77000
Tue Jun 22 10:15:43 2021 Epoch 71, lr: 0.0000000, val loss: 32.46481, acc: 89.76000
Tue Jun 22 10:17:10 2021 Epoch 72, lr: 0.0000000, val loss: 31.93545, acc: 89.74000
Tue Jun 22 10:18:35 2021 Epoch 73, lr: 0.0000000, val loss: 31.76238, acc: 89.97000
Tue Jun 22 10:20:01 2021 Epoch 74, lr: 0.0000000, val loss: 31.91386, acc: 89.81000
Tue Jun 22 10:21:26 2021 Epoch 75, lr: 0.0000000, val loss: 31.88554, acc: 89.77000
Tue Jun 22 10:22:52 2021 Epoch 76, lr: 0.0000000, val loss: 31.95053, acc: 89.83000
Tue Jun 22 10:24:16 2021 Epoch 77, lr: 0.0000000, val loss: 31.60905, acc: 90.03000
Tue Jun 22 10:25:41 2021 Epoch 78, lr: 0.0000000, val loss: 32.58513, acc: 89.79000
Tue Jun 22 10:27:07 2021 Epoch 79, lr: 0.0000000, val loss: 32.22287, acc: 90.01000
Tue Jun 22 10:28:33 2021 Epoch 80, lr: 0.0000000, val loss: 31.46661, acc: 90.00000
Tue Jun 22 10:29:58 2021 Epoch 81, lr: 0.0000000, val loss: 31.58661, acc: 89.96000
